user_id,item_id,feedback
318,143,5
293,237,3
624,333,4
325,614,4
623,298,2
72,9,5
187,70,4
177,64,4
195,1014,4
94,1226,4
870,223,4
796,879,4
276,1074,3
754,284,3
345,131,4
268,122,2
585,582,3
660,222,2
538,28,3
655,732,3
151,26,3
256,174,4
406,70,3
260,307,3
178,546,3
387,168,5
916,462,4
864,2,4
94,11,5
378,921,4
7,288,4
629,392,4
399,568,2
47,304,3
286,709,4
738,265,4
550,596,2
389,1041,3
823,428,5
710,346,4
490,255,1
397,680,1
94,51,3
561,403,3
459,222,4
606,527,4
504,25,4
738,260,2
466,895,3
90,603,5
536,736,5
193,508,4
184,805,3
56,179,3
524,50,4
780,510,4
327,147,2
72,471,4
804,476,3
313,230,3
387,496,3
293,977,2
59,98,5
131,100,5
450,448,4
181,1084,2
14,265,3
537,333,2
842,272,4
772,328,5
689,109,5
545,151,4
276,392,3
188,392,5
880,379,4
363,238,4
558,253,5
392,847,4
90,509,5
184,238,4
585,1193,5
632,404,5
547,311,2
713,272,4
409,527,4
727,87,4
493,475,3
307,708,4
602,895,3
45,596,3
611,750,5
249,290,2
562,153,4
543,367,4
141,1280,1
104,9,2
506,479,4
436,986,3
58,283,1
541,8,5
802,135,4
486,268,3
787,880,3
416,1098,3
737,475,4
904,173,3
825,248,4
161,483,3
170,749,5
357,151,5
336,585,3
56,578,3
862,478,4
500,708,5
647,705,4
23,367,4
21,619,2
417,286,5
134,302,2
532,506,5
184,588,5
330,527,3
328,275,4
787,690,5
100,271,3
868,198,5
632,367,2
345,1014,3
14,176,1
889,169,5
870,559,2
608,269,3
59,434,4
622,756,3
807,29,4
886,449,3
70,227,3
299,202,4
474,317,4
314,623,5
727,380,3
798,801,3
303,558,4
655,792,3
663,827,2
291,195,4
590,111,3
206,245,1
72,117,4
514,179,4
805,679,4
823,79,4
99,367,4
494,507,4
227,1067,4
416,281,5
83,122,1
303,120,2
757,432,3
707,952,3
318,1014,2
308,265,3
872,237,4
692,476,3
203,458,3
682,801,3
586,176,3
41,58,3
475,70,4
87,702,3
327,192,5
276,1218,4
923,282,4
405,1192,1
500,582,4
332,98,5
880,1059,4
405,1267,1
158,137,5
790,298,5
181,1034,1
474,654,5
303,69,5
484,141,4
328,903,3
399,218,4
200,132,5
606,939,4
20,82,4
682,75,4
587,342,1
653,578,1
59,237,3
8,222,5
354,507,3
308,95,4
450,223,3
443,12,5
65,239,5
72,77,4
393,1016,5
458,433,4
807,748,4
523,874,4
99,125,4
804,603,5
757,343,3
677,358,5
216,122,5
588,655,3
181,122,2
466,354,2
10,182,5
547,303,3
59,1,2
319,689,3
774,510,2
524,1093,4
647,174,4
125,1037,2
429,602,5
305,512,4
639,647,3
934,70,4
287,98,4
282,269,4
938,9,3
405,42,1
650,91,4
21,245,1
451,304,3
178,460,2
936,286,5
614,9,4
448,307,2
286,993,2
694,89,4
286,1316,5
577,196,5
540,111,4
521,186,4
429,432,4
198,117,1
896,692,4
393,90,2
184,399,3
279,1481,4
21,106,2
938,260,4
854,1086,3
836,289,1
269,715,4
429,569,2
184,378,4
83,88,5
539,289,4
398,58,4
110,403,3
627,467,5
49,122,2
468,257,4
381,13,4
642,660,3
68,409,3
619,363,2
218,39,2
452,404,4
119,1262,3
454,1035,3
833,403,1
181,1059,1
285,216,3
75,117,4
188,226,3
327,173,4
181,883,1
197,651,5
474,511,5
